maturity_days,expiry,strike,mid,implied_vol,spot,moneyness
18,2026-04-29,6000.000000,838.100000,0.414290,6816.890137,0.880167
18,2026-04-29,6025.000000,813.600000,0.406912,6816.890137,0.883834
18,2026-04-29,6100.000000,739.300000,0.377402,6816.890137,0.894836
18,2026-04-29,6125.000000,714.700000,0.368529,6816.890137,0.898504
18,2026-04-29,6200.000000,641.150000,0.342132,6816.890137,0.909506
18,2026-04-29,6225.000000,616.800000,0.333594,6816.890137,0.913173
18,2026-04-29,6250.000000,592.500000,0.325263,6816.890137,0.916840
18,2026-04-29,6275.000000,568.300000,0.317115,6816.890137,0.920508
18,2026-04-29,6280.000000,563.500000,0.315589,6816.890137,0.921241
18,2026-04-29,6290.000000,553.800000,0.312202,6816.890137,0.922708
18,2026-04-29,6300.000000,544.250000,0.309104,6816.890137,0.924175
18,2026-04-29,6310.000000,534.600000,0.305969,6816.890137,0.925642
18,2026-04-29,6320.000000,525.050000,0.302802,6816.890137,0.927109
18,2026-04-29,6325.000000,520.250000,0.301208,6816.890137,0.927842
18,2026-04-29,6330.000000,515.450000,0.299602,6816.890137,0.928576
18,2026-04-29,6350.000000,496.350000,0.293388,6816.890137,0.931510
18,2026-04-29,6360.000000,486.850000,0.290367,6816.890137,0.932977
18,2026-04-29,6370.000000,477.550000,0.288162,6816.890137,0.934444
18,2026-04-29,6375.000000,472.600000,0.285617,6816.890137,0.935177
18,2026-04-29,6380.000000,467.900000,0.284202,6816.890137,0.935911
18,2026-04-29,6390.000000,458.450000,0.281055,6816.890137,0.937378
18,2026-04-29,6400.000000,449.050000,0.278137,6816.890137,0.938845
18,2026-04-29,6410.000000,439.650000,0.275169,6816.890137,0.940311
18,2026-04-29,6420.000000,430.350000,0.272415,6816.890137,0.941778
18,2026-04-29,6425.000000,425.650000,0.270885,6816.890137,0.942512
18,2026-04-29,6430.000000,421.000000,0.269344,6816.890137,0.943245
18,2026-04-29,6440.000000,411.700000,0.266475,6816.890137,0.944712
18,2026-04-29,6450.000000,402.500000,0.263805,6816.890137,0.946179
18,2026-04-29,6460.000000,393.250000,0.260818,6816.890137,0.947646
18,2026-04-29,6470.000000,384.050000,0.258018,6816.890137,0.949113
18,2026-04-29,6475.000000,379.450000,0.256592,6816.890137,0.949847
18,2026-04-29,6480.000000,374.950000,0.255390,6816.890137,0.950580
18,2026-04-29,6490.000000,365.800000,0.252457,6816.890137,0.952047
18,2026-04-29,6500.000000,356.700000,0.249687,6816.890137,0.953514
18,2026-04-29,6510.000000,347.700000,0.247078,6816.890137,0.954981
18,2026-04-29,6520.000000,338.700000,0.244385,6816.890137,0.956448
18,2026-04-29,6525.000000,334.350000,0.243462,6816.890137,0.957181
18,2026-04-29,6530.000000,329.800000,0.241837,6816.890137,0.957915
18,2026-04-29,6540.000000,320.950000,0.239204,6816.890137,0.959382
18,2026-04-29,6550.000000,312.100000,0.236481,6816.890137,0.960849
18,2026-04-29,6560.000000,303.400000,0.234314,6816.890137,0.962316
18,2026-04-29,6570.000000,294.550000,0.231197,6816.890137,0.963783
18,2026-04-29,6575.000000,290.200000,0.230026,6816.890137,0.964516
18,2026-04-29,6580.000000,285.950000,0.229035,6816.890137,0.965250
18,2026-04-29,6590.000000,277.350000,0.226555,6816.890137,0.966716
18,2026-04-29,6600.000000,268.800000,0.223969,6816.890137,0.968183
18,2026-04-29,6610.000000,260.300000,0.221077,6816.890137,0.969650
18,2026-04-29,6620.000000,251.850000,0.218865,6816.890137,0.971117
18,2026-04-29,6625.000000,247.700000,0.217808,6816.890137,0.971851
18,2026-04-29,6630.000000,243.550000,0.216530,6816.890137,0.972584
18,2026-04-29,6640.000000,235.250000,0.214070,6816.890137,0.974051
18,2026-04-29,6650.000000,227.000000,0.211109,6816.890137,0.975518
18,2026-04-29,6660.000000,219.000000,0.209137,6816.890137,0.976985
18,2026-04-29,6675.000000,206.850000,0.205277,6816.890137,0.979186
18,2026-04-29,6700.000000,187.050000,0.199093,6816.890137,0.982853
18,2026-04-29,6710.000000,179.700000,0.194315,6816.890137,0.984320
18,2026-04-29,6725.000000,167.700000,0.189755,6816.890137,0.986520
18,2026-04-29,6750.000000,149.300000,0.183693,6816.890137,0.990188
18,2026-04-29,6775.000000,131.450000,0.178280,6816.890137,0.993855
18,2026-04-29,6800.000000,114.300000,0.171902,6816.890137,0.997522
18,2026-04-29,6825.000000,98.200000,0.165890,6816.890137,1.001190
18,2026-04-29,6850.000000,83.150000,0.160247,6816.890137,1.004857
18,2026-04-29,6875.000000,68.950000,0.153832,6816.890137,1.008524
18,2026-04-29,6900.000000,56.350000,0.148461,6816.890137,1.012192
18,2026-04-29,6925.000000,45.300000,0.143922,6816.890137,1.015859
18,2026-04-29,6950.000000,35.400000,0.138528,6816.890137,1.019526
18,2026-04-29,6975.000000,27.200000,0.134297,6816.890137,1.023194
18,2026-04-29,7000.000000,20.450000,0.130422,6816.890137,1.026861
18,2026-04-29,7025.000000,15.100000,0.127160,6816.890137,1.030529
18,2026-04-29,7050.000000,11.000000,0.124742,6816.890137,1.034196
18,2026-04-29,7100.000000,5.650000,0.121591,6816.890137,1.041531
18,2026-04-29,7200.000000,1.525000,0.122308,6816.890137,1.056200
18,2026-04-29,7400.000000,0.450000,0.150948,6816.890137,1.085539
19,2026-04-30,5800.000000,1037.650000,0.482770,6816.890137,0.850828
19,2026-04-30,5825.000000,1012.850000,0.473653,6816.890137,0.854495
19,2026-04-30,5840.000000,998.000000,0.468084,6816.890137,0.856696
19,2026-04-30,5850.000000,988.150000,0.465429,6816.890137,0.858163
19,2026-04-30,5860.000000,978.250000,0.461843,6816.890137,0.859630
19,2026-04-30,5900.000000,938.450000,0.445722,6816.890137,0.865497
19,2026-04-30,5950.000000,888.950000,0.427717,6816.890137,0.872832
19,2026-04-30,5980.000000,859.250000,0.416838,6816.890137,0.877233
19,2026-04-30,5990.000000,849.350000,0.413206,6816.890137,0.878700
19,2026-04-30,6000.000000,839.500000,0.409559,6816.890137,0.880167
19,2026-04-30,6010.000000,829.850000,0.407919,6816.890137,0.881634
19,2026-04-30,6025.000000,815.000000,0.402212,6816.890137,0.883834
19,2026-04-30,6030.000000,809.900000,0.398985,6816.890137,0.884568
19,2026-04-30,6050.000000,790.150000,0.391631,6816.890137,0.887501
19,2026-04-30,6070.000000,770.500000,0.385016,6816.890137,0.890435
19,2026-04-30,6075.000000,765.550000,0.382979,6816.890137,0.891169
19,2026-04-30,6100.000000,740.950000,0.374243,6816.890137,0.894836
19,2026-04-30,6110.000000,731.150000,0.370879,6816.890137,0.896303
19,2026-04-30,6125.000000,716.450000,0.365805,6816.890137,0.898504
19,2026-04-30,6130.000000,711.550000,0.364104,6816.890137,0.899237
19,2026-04-30,6150.000000,691.950000,0.357276,6816.890137,0.902171
19,2026-04-30,6170.000000,672.400000,0.350379,6816.890137,0.905105
19,2026-04-30,6175.000000,667.550000,0.348647,6816.890137,0.905838
19,2026-04-30,6185.000000,657.800000,0.345847,6816.890137,0.907305
19,2026-04-30,6190.000000,652.950000,0.343764,6816.890137,0.908039
19,2026-04-30,6195.000000,648.200000,0.343356,6816.890137,0.908772
19,2026-04-30,6200.000000,643.150000,0.340259,6816.890137,0.909506
19,2026-04-30,6210.000000,633.500000,0.337401,6816.890137,0.910973
19,2026-04-30,6215.000000,628.650000,0.335959,6816.890137,0.911706
19,2026-04-30,6220.000000,623.750000,0.333858,6816.890137,0.912440
19,2026-04-30,6225.000000,618.950000,0.332404,6816.890137,0.913173
19,2026-04-30,6230.000000,614.050000,0.330619,6816.890137,0.913906
19,2026-04-30,6240.000000,604.450000,0.327682,6816.890137,0.915373
19,2026-04-30,6245.000000,599.550000,0.326202,6816.890137,0.916107
19,2026-04-30,6250.000000,594.750000,0.324393,6816.890137,0.916840
19,2026-04-30,6260.000000,585.100000,0.321086,6816.890137,0.918307
19,2026-04-30,6265.000000,580.300000,0.319884,6816.890137,0.919041
19,2026-04-30,6270.000000,575.500000,0.318061,6816.890137,0.919774
19,2026-04-30,6275.000000,570.700000,0.316535,6816.890137,0.920508
19,2026-04-30,6280.000000,565.900000,0.315002,6816.890137,0.921241
19,2026-04-30,6300.000000,546.700000,0.308795,6816.890137,0.924175
19,2026-04-30,6310.000000,537.150000,0.305644,6816.890137,0.925642
19,2026-04-30,6320.000000,527.650000,0.302749,6816.890137,0.927109
19,2026-04-30,6325.000000,522.850000,0.301147,6816.890137,0.927842
19,2026-04-30,6330.000000,518.150000,0.299819,6816.890137,0.928576
19,2026-04-30,6335.000000,513.350000,0.298477,6816.890137,0.929309
19,2026-04-30,6340.000000,508.650000,0.296844,6816.890137,0.930043
19,2026-04-30,6345.000000,503.850000,0.295486,6816.890137,0.930776
19,2026-04-30,6350.000000,499.150000,0.293830,6816.890137,0.931510
19,2026-04-30,6355.000000,494.550000,0.293273,6816.890137,0.932243
19,2026-04-30,6360.000000,489.700000,0.290782,6816.890137,0.932977
19,2026-04-30,6365.000000,485.100000,0.290191,6816.890137,0.933710
19,2026-04-30,6370.000000,480.300000,0.287963,6816.890137,0.934444
19,2026-04-30,6375.000000,475.600000,0.286533,6816.890137,0.935177
19,2026-04-30,6380.000000,470.900000,0.285095,6816.890137,0.935911
19,2026-04-30,6385.000000,466.300000,0.284431,6816.890137,0.936644
19,2026-04-30,6390.000000,461.500000,0.282180,6816.890137,0.937378
19,2026-04-30,6395.000000,456.800000,0.280967,6816.890137,0.938111
19,2026-04-30,6400.000000,452.150000,0.279220,6816.890137,0.938845
19,2026-04-30,6405.000000,447.600000,0.278747,6816.890137,0.939578
19,2026-04-30,6410.000000,442.850000,0.276466,6816.890137,0.940311
19,2026-04-30,6415.000000,438.400000,0.276207,6816.890137,0.941045
19,2026-04-30,6420.000000,433.750000,0.274662,6816.890137,0.941778
19,2026-04-30,6425.000000,428.950000,0.272358,6816.890137,0.942512
19,2026-04-30,6430.000000,424.350000,0.271042,6816.890137,0.943245
19,2026-04-30,6435.000000,419.850000,0.270450,6816.890137,0.943979
19,2026-04-30,6440.000000,415.100000,0.268127,6816.890137,0.944712
19,2026-04-30,6445.000000,410.650000,0.267734,6816.890137,0.945446
19,2026-04-30,6450.000000,405.900000,0.265392,6816.890137,0.946179
19,2026-04-30,6455.000000,401.550000,0.265194,6816.890137,0.946913
19,2026-04-30,6460.000000,396.800000,0.262836,6816.890137,0.947646
19,2026-04-30,6465.000000,392.350000,0.262352,6816.890137,0.948380
19,2026-04-30,6470.000000,387.650000,0.259979,6816.890137,0.949113
19,2026-04-30,6475.000000,383.250000,0.259220,6816.890137,0.949847
19,2026-04-30,6480.000000,378.800000,0.258205,6816.890137,0.950580
19,2026-04-30,6485.000000,374.250000,0.256489,6816.890137,0.951314
19,2026-04-30,6490.000000,369.600000,0.254761,6816.890137,0.952047
19,2026-04-30,6495.000000,365.300000,0.254585,6816.890137,0.952781
19,2026-04-30,6500.000000,360.700000,0.252598,6816.890137,0.953514
