maturity_days,expiry,strike,mid,implied_vol,spot,moneyness
23,2026-05-04,5600.0,1010.1,0.3441,6575.0,0.85171
23,2026-05-04,5625.0,985.9,0.3398,6575.0,0.855513
23,2026-05-04,5650.0,961.6,0.3337,6575.0,0.859315
23,2026-05-04,5675.0,937.45,0.3321,6575.0,0.863117
23,2026-05-04,5725.0,889.4,0.323,6575.0,0.870722
23,2026-05-04,5750.0,865.45,0.3203,6575.0,0.874524
23,2026-05-04,5775.0,841.65,0.3164,6575.0,0.878326
23,2026-05-04,5800.0,817.8,0.3114,6575.0,0.882129
23,2026-05-04,5825.0,794.15,0.3079,6575.0,0.885931
23,2026-05-04,5850.0,770.35,0.3042,6575.0,0.889733
23,2026-05-04,5875.0,746.55,0.2992,6575.0,0.893535
23,2026-05-04,5900.0,723.7,0.2967,6575.0,0.897338
23,2026-05-04,5950.0,677.15,0.2903,6575.0,0.904942
23,2026-05-04,5975.0,654.35,0.2871,6575.0,0.908745
23,2026-05-04,6000.0,631.35,0.2831,6575.0,0.912547
23,2026-05-04,6025.0,608.6,0.2799,6575.0,0.916349
23,2026-05-04,6050.0,586.35,0.2768,6575.0,0.920151
23,2026-05-04,6075.0,564.05,0.2732,6575.0,0.923954
23,2026-05-04,6100.0,541.9,0.27,6575.0,0.927756
23,2026-05-04,6125.0,519.85,0.2672,6575.0,0.931558
23,2026-05-04,6175.0,476.55,0.26,6575.0,0.939163
23,2026-05-04,6200.0,455.45,0.2572,6575.0,0.942965
23,2026-05-04,6225.0,434.4,0.2541,6575.0,0.946767
23,2026-05-04,6230.0,430.05,0.2532,6575.0,0.947528
23,2026-05-04,6240.0,421.9,0.2521,6575.0,0.949049
23,2026-05-04,6250.0,413.6,0.2508,6575.0,0.95057
23,2026-05-04,6260.0,405.3,0.2494,6575.0,0.952091
23,2026-05-04,6270.0,397.15,0.2482,6575.0,0.953611
23,2026-05-04,6280.0,388.95,0.2468,6575.0,0.955132
23,2026-05-04,6290.0,380.8,0.2455,6575.0,0.956653
23,2026-05-04,6300.0,372.75,0.2442,6575.0,0.958174
23,2026-05-04,6310.0,364.15,0.2428,6575.0,0.959695
23,2026-05-04,6320.0,356.5,0.2413,6575.0,0.961216
23,2026-05-04,6325.0,352.75,0.2408,6575.0,0.961976
23,2026-05-04,6330.0,348.75,0.2402,6575.0,0.962737
23,2026-05-04,6340.0,340.9,0.2385,6575.0,0.964258
23,2026-05-04,6360.0,325.3,0.2359,6575.0,0.9673
23,2026-05-04,6370.0,317.35,0.2345,6575.0,0.968821
23,2026-05-04,6375.0,313.2,0.234,6575.0,0.969581
23,2026-05-04,6380.0,309.8,0.2334,6575.0,0.970341
23,2026-05-04,6390.0,302.2,0.2317,6575.0,0.971862
23,2026-05-04,6400.0,294.6,0.2302,6575.0,0.973383
23,2026-05-04,6410.0,287.1,0.2289,6575.0,0.974904
23,2026-05-04,6420.0,279.7,0.2274,6575.0,0.976425
23,2026-05-04,6430.0,272.3,0.2259,6575.0,0.977946
23,2026-05-04,6440.0,264.9,0.2246,6575.0,0.979467
23,2026-05-04,6450.0,257.6,0.2232,6575.0,0.980988
23,2026-05-04,6460.0,250.4,0.2217,6575.0,0.982509
23,2026-05-04,6470.0,243.25,0.2202,6575.0,0.98403
23,2026-05-04,6475.0,239.7,0.2194,6575.0,0.98479
23,2026-05-04,6480.0,236.15,0.2187,6575.0,0.985551
23,2026-05-04,6490.0,229.1,0.2172,6575.0,0.987071
23,2026-05-04,6510.0,215.2,0.2141,6575.0,0.990113
23,2026-05-04,6520.0,208.4,0.2126,6575.0,0.991634
23,2026-05-04,6525.0,205.0,0.2118,6575.0,0.992395
23,2026-05-04,6530.0,201.6,0.211,6575.0,0.993155
23,2026-05-04,6540.0,194.9,0.2095,6575.0,0.994676
23,2026-05-04,6550.0,188.3,0.2079,6575.0,0.996197
23,2026-05-04,6560.0,181.8,0.2063,6575.0,0.997718
23,2026-05-04,6570.0,175.4,0.2047,6575.0,0.999239
23,2026-05-04,6580.0,169.0,0.2031,6575.0,1.00076
23,2026-05-04,6590.0,162.7,0.2015,6575.0,1.002281
23,2026-05-04,6600.0,156.5,0.1998,6575.0,1.003802
23,2026-05-04,6625.0,141.4,0.1957,6575.0,1.007604
23,2026-05-04,6650.0,126.9,0.1915,6575.0,1.011406
23,2026-05-04,6675.0,113.05,0.1872,6575.0,1.015208
23,2026-05-04,6700.0,99.9,0.1829,6575.0,1.019011
23,2026-05-04,6725.0,87.45,0.1786,6575.0,1.022813
23,2026-05-04,6775.0,65.05,0.1697,6575.0,1.030417
23,2026-05-04,6800.0,55.1,0.1652,6575.0,1.03422
23,2026-05-04,6825.0,46.1,0.1609,6575.0,1.038022
23,2026-05-04,6850.0,38.1,0.1565,6575.0,1.041824
23,2026-05-04,6875.0,31.0,0.1524,6575.0,1.045627
