episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
1,0.006979,-0.003195,-0.000734,0.015974,-2.491711,0.003773,30,4.837294
2,0.006777,-0.002993,0.000030,0.008544,-2.489348,0.003085,23,9.388284
3,0.007246,-0.003462,-0.000333,0.004676,-2.486831,0.004042,22,13.746714
4,0.007738,-0.003954,-0.000258,0.002143,-2.483906,0.004677,30,18.483628
5,0.007734,-0.003950,0.000012,0.000896,-2.480897,0.000577,30,23.085496
6,0.007574,-0.003790,0.000052,0.000457,-2.477556,0.000515,30,27.763737
7,0.007724,-0.003939,-0.000116,0.000340,-2.474195,0.003491,30,32.347430
8,0.007846,-0.004061,0.000013,0.000297,-2.471143,0.003389,29,37.051789
9,0.008529,-0.004745,-0.000014,0.000265,-2.468177,0.002309,30,41.452831
10,0.008841,-0.005057,-0.000103,0.000256,-2.465111,0.003767,30,46.023184
11,0.009136,-0.005352,-0.000079,0.000244,-2.462384,0.003333,24,50.558664
12,0.009428,-0.005644,-0.000059,0.000222,-2.460155,0.003628,20,55.049198
13,0.010199,-0.006415,-0.000047,0.000212,-2.458479,0.003252,13,59.557684
14,0.010581,-0.006797,-0.000054,0.000208,-2.457107,0.003834,13,63.976633
15,0.011024,-0.007240,-0.000045,0.000189,-2.455633,0.003646,16,68.471874
16,0.011435,-0.007651,-0.000062,0.000190,-2.454231,0.003393,12,72.874088
17,0.012422,-0.008638,-0.000056,0.000187,-2.453110,0.003686,10,77.343785
18,0.012822,-0.009038,0.000012,0.000171,-2.451995,0.004140,12,81.621147
19,0.013238,-0.009454,-0.000030,0.000169,-2.450865,0.003987,10,86.038176
20,0.014263,-0.010479,-0.000030,0.000159,-2.449822,0.004047,10,90.374500
21,0.014970,-0.011186,0.000013,0.000153,-2.448636,0.003869,13,94.732076
22,0.015373,-0.011588,-0.000028,0.000146,-2.447390,0.003286,11,99.021820
23,0.016503,-0.012718,-0.000057,0.000145,-2.446247,0.003700,11,103.371490
24,0.016846,-0.013061,0.000044,0.000125,-2.445079,0.003362,12,107.836207
25,0.017719,-0.013934,-0.000085,0.000124,-2.443990,0.003609,9,112.218575
26,0.018601,-0.014817,-0.000060,0.000119,-2.443148,0.003608,7,116.785858
27,0.019170,-0.015386,-0.000072,0.000114,-2.442475,0.004510,6,121.186461
28,0.020086,-0.016302,-0.000182,0.000116,-2.441847,0.004689,6,125.519426
29,0.021272,-0.017487,0.000000,0.000108,-2.441119,0.004301,8,129.914754
30,0.022059,-0.018275,-0.000042,0.000101,-2.439981,0.004520,14,134.338297
31,0.022791,-0.019007,-0.000041,0.000097,-2.438749,0.003814,10,138.771923
32,0.023935,-0.020151,-0.000008,0.000091,-2.437777,0.003770,9,143.195961
33,0.025017,-0.021233,0.000044,0.000084,-2.436657,0.004040,13,147.812780
34,0.025844,-0.022060,0.000005,0.000074,-2.434504,0.004681,30,152.337559
35,0.026619,-0.022834,-0.000046,0.000069,-2.432538,0.002822,9,156.758774
36,0.027853,-0.024069,-0.000110,0.000066,-2.431664,0.004106,8,161.101092
37,0.028910,-0.025125,0.000002,0.000063,-2.430830,0.003497,8,165.468195
38,0.030288,-0.026504,-0.000034,0.000058,-2.430057,0.004170,7,169.883611
39,0.031681,-0.027897,0.000033,0.000055,-2.429187,0.004455,10,174.267169
40,0.032122,-0.028337,-0.000016,0.000051,-2.427130,0.002296,30,178.918513
41,0.032629,-0.028845,-0.000082,0.000045,-2.425136,0.003397,9,183.220248
42,0.033720,-0.029936,-0.000011,0.000044,-2.424282,0.004165,8,187.626633
43,0.034840,-0.031056,0.000047,0.000042,-2.423420,0.003382,9,192.007544
44,0.036299,-0.032515,-0.000015,0.000038,-2.421436,0.003488,30,196.660503
45,0.035499,-0.031715,-0.000036,0.000035,-2.419350,0.003115,11,201.067661
46,0.036334,-0.032550,0.000003,0.000035,-2.418382,0.004135,8,205.356237
47,0.037832,-0.034048,0.000009,0.000034,-2.417568,0.004177,8,209.779928
48,0.039315,-0.035531,0.000016,0.000031,-2.416701,0.003961,9,214.118911
49,0.039563,-0.035779,-0.000035,0.000030,-2.414715,0.004450,30,218.765794
50,0.039726,-0.035942,-0.000018,0.000026,-2.412564,0.003379,12,223.135236
51,0.040281,-0.036497,-0.000009,0.000026,-2.410428,0.003304,30,227.797371
52,0.039569,-0.035785,-0.000010,0.000023,-2.408201,0.003159,14,232.263813
53,0.039239,-0.035455,0.000009,0.000024,-2.406930,0.003495,11,236.622928
54,0.038972,-0.035188,0.000009,0.000023,-2.404942,0.004712,28,241.255333
55,0.037468,-0.033683,-0.000031,0.000022,-2.401995,0.005500,30,245.656720
56,0.038238,-0.034454,-0.000028,0.000021,-2.399599,0.002586,17,250.156791
57,0.039121,-0.035337,-0.000013,0.000019,-2.397201,0.005224,30,254.758294
58,0.039086,-0.035301,-0.000003,0.000018,-2.394813,0.003667,17,259.488949
59,0.039050,-0.035266,-0.000018,0.000018,-2.392430,0.002976,30,264.964521
60,0.040299,-0.036515,-0.000028,0.000016,-2.389392,0.004341,30,270.285346
61,0.040309,-0.036524,-0.000009,0.000013,-2.386339,0.003760,30,275.527285
62,0.041067,-0.037283,-0.000020,0.000013,-2.383287,0.000920,30,280.327573
63,0.041830,-0.038046,-0.000001,0.000012,-2.380257,0.004303,30,285.018160
64,0.042509,-0.038725,-0.000028,0.000014,-2.377938,0.003272,16,289.706530
65,0.041797,-0.038012,0.000005,0.000013,-2.376421,0.003504,14,294.243593
66,0.039651,-0.035867,-0.000027,0.000014,-2.375054,0.003886,13,298.942713
67,0.038816,-0.035032,0.000001,0.000012,-2.372872,0.003218,30,303.673845
68,0.038354,-0.034570,-0.000019,0.000012,-2.370628,0.003057,14,308.274226
