episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
1,0.003352,0.056817,0.000278,0.003728,-0.189067,0.001278,30,0.000100,8.816155
2,0.003305,0.069817,-0.000181,0.003229,-0.186089,0.003328,28,0.000100,16.983136
3,0.002833,0.202802,-0.000031,0.007864,-0.182624,0.001879,30,0.000100,24.760842
4,0.002503,0.295580,-0.000576,0.007016,-0.179347,0.003068,21,0.000100,33.242874
5,0.002108,0.406686,-0.000154,0.006639,-0.177390,0.004139,19,0.000100,42.387641
6,0.001817,0.488648,-0.000348,0.004366,-0.174986,0.005419,30,0.000100,52.002434
7,0.001617,0.544940,-0.000398,0.005845,-0.172755,0.002982,14,0.000100,60.989108
8,0.001432,0.597039,-0.000638,0.004744,-0.171371,0.003631,13,0.000100,69.382884
9,0.001242,0.650366,-0.000380,0.004479,-0.170173,0.003777,9,0.000100,77.907242
10,0.001207,0.660391,-0.000658,0.005843,-0.169127,0.004032,10,0.000100,86.472327
11,0.001147,0.677221,-0.000134,0.003381,-0.167289,0.003246,30,0.000100,95.406620
12,0.001260,0.645543,-0.000274,0.004040,-0.165145,0.003633,23,0.000100,104.007039
13,0.000956,0.731090,-0.000229,0.004924,-0.163595,0.002875,18,0.000100,112.382508
14,0.001146,0.677422,-0.000258,0.005005,-0.160973,0.004735,30,0.000100,120.242582
15,0.000975,0.725704,-0.000132,0.004513,-0.158683,0.003103,12,0.000100,127.748549
16,0.000875,0.753711,-0.000327,0.005523,-0.157747,0.003512,7,0.000100,134.562136
17,0.000609,0.828532,-0.000317,0.005501,-0.157159,0.004128,7,0.000100,141.614276
18,0.000542,0.847368,-0.000787,0.006713,-0.156511,0.003290,8,0.000100,148.510454
19,0.000464,0.869433,-0.000385,0.004291,-0.155695,0.004309,8,0.000100,155.929925
20,0.000294,0.917373,0.000105,0.004741,-0.154524,0.004086,13,0.000100,164.735809
21,0.000141,0.960384,-0.000299,0.002743,-0.152514,0.004415,21,0.000100,173.064524
22,0.000255,0.928191,-0.000325,0.004810,-0.150474,0.002790,17,0.000100,182.065386
23,0.000093,0.973709,-0.000004,0.002599,-0.148612,0.002183,22,0.000100,190.835752
24,0.000193,0.945705,0.000236,0.002729,-0.146748,0.004018,12,0.000100,199.061541
25,0.000369,0.896045,0.000060,0.005501,-0.145612,0.002843,8,0.000100,207.567271
26,0.000262,0.926209,0.000256,0.004371,-0.144846,0.003869,6,0.000100,215.655212
27,0.000168,0.952728,-0.000203,0.002327,-0.143924,0.004410,12,0.000100,224.186009
28,0.000227,0.936160,-0.000283,0.004664,-0.142574,0.002798,15,0.000100,232.757755
29,0.000125,0.964760,-0.000229,0.001914,-0.140432,0.005074,30,0.000100,241.991363
30,0.000216,0.939330,-0.000432,0.001826,-0.138425,0.003663,14,0.000100,250.702128
31,0.000238,0.932905,-0.000109,0.002899,-0.137199,0.003208,12,0.000100,259.473336
32,0.000118,0.966725,-0.000165,0.001300,-0.135475,0.005903,30,0.000100,268.459995
33,0.000161,0.954758,-0.000026,0.001448,-0.132624,0.003842,30,0.000100,277.204140
34,0.000106,0.970123,-0.000148,0.000593,-0.129715,0.003285,30,0.000100,286.760519
35,0.000328,0.907816,0.000044,0.005168,-0.127924,0.004046,8,0.000100,295.612239
36,0.000090,0.974800,0.000034,0.001803,-0.126075,0.004115,30,0.000100,304.162144
37,0.000117,0.966972,-0.000032,0.000554,-0.123020,0.002114,30,0.000100,312.926257
38,0.000137,0.961510,-0.000108,0.000398,-0.120547,0.002996,22,0.000100,321.575201
39,0.000362,0.898090,-0.000043,0.004094,-0.118861,0.003338,14,0.000100,330.243357
40,0.000158,0.955396,-0.000126,0.003666,-0.117785,0.003797,12,0.000100,339.100546
41,0.000185,0.947887,-0.000147,0.001343,-0.116000,0.003407,30,0.000100,347.929948
42,0.000147,0.958762,-0.000024,0.000395,-0.114035,0.003020,15,0.000100,356.727566
43,0.000195,0.945003,-0.000030,0.000402,-0.111746,0.003521,30,0.000100,365.340908
44,0.000451,0.873122,-0.001110,0.007230,-0.109857,0.004112,8,0.000100,373.868681
45,0.000217,0.938810,0.000195,0.003932,-0.108991,0.004461,12,0.000100,382.062998
46,0.000181,0.948943,-0.000082,0.000883,-0.107792,0.003063,14,0.000100,390.605640
47,0.000278,0.921861,-0.000075,0.002754,-0.106745,0.004109,8,0.000100,398.725456
48,0.000203,0.943003,-0.000012,0.000736,-0.105508,0.003950,18,0.000100,407.049630
49,0.000241,0.932206,-0.000000,0.000722,-0.103084,0.002645,30,0.000100,415.865923
50,0.000326,0.908174,-0.000182,0.001759,-0.100979,0.003122,13,0.000100,424.686449
51,0.000246,0.930772,-0.000080,0.000604,-0.099632,0.003509,16,0.000100,432.987696
52,0.000329,0.907432,-0.000349,0.001279,-0.098112,0.002837,17,0.000100,441.434409
53,0.000273,0.923271,-0.000050,0.000419,-0.096623,0.003419,19,0.000100,449.857154
54,0.000400,0.887454,-0.000083,0.003278,-0.095225,0.002504,10,0.000100,458.615499
55,0.000321,0.909640,-0.000075,0.001145,-0.094193,0.004648,12,0.000100,467.027508
56,0.000330,0.907003,-0.000062,0.000477,-0.093005,0.003432,13,0.000100,475.634688
57,0.000400,0.887499,-0.000193,0.000589,-0.091681,0.003711,15,0.000100,484.179346
58,0.000452,0.872710,-0.000385,0.001906,-0.090582,0.003600,9,0.000100,492.713583
59,0.000431,0.878633,-0.000275,0.001061,-0.089899,0.003517,6,0.000100,500.878241
60,0.000443,0.875392,-0.000159,0.000587,-0.089200,0.004571,10,0.000100,509.274092
61,0.000447,0.874198,-0.000120,0.000581,-0.088368,0.004789,7,0.000100,517.955002
62,0.000553,0.844399,-0.000084,0.002489,-0.087323,0.003554,14,0.000100,526.358597
63,0.000605,0.829837,0.000354,0.002629,-0.086283,0.003412,6,0.000100,534.902324
64,0.000451,0.873030,-0.000025,0.001296,-0.085454,0.004741,8,0.000100,543.319739
65,0.000607,0.829270,-0.000654,0.003927,-0.084586,0.003002,7,0.000100,551.959197
66,0.000512,0.855984,0.000112,0.002061,-0.083426,0.002230,12,0.000100,560.209971
67,0.000530,0.850802,-0.000067,0.001445,-0.081684,0.003878,19,0.000100,568.397251
68,0.000563,0.841670,0.000021,0.001688,-0.080173,0.002961,13,0.000100,577.319435
69,0.000517,0.854610,-0.000037,0.000620,-0.078175,0.004015,30,0.000100,586.685477
70,0.000531,0.850443,-0.000138,0.000690,-0.075266,0.002729,30,0.000100,595.604659
71,0.000530,0.850904,0.000054,0.001167,-0.072166,0.005135,30,0.000100,604.359837
72,0.000489,0.862497,0.000026,0.000207,-0.069860,0.002804,17,0.000100,612.633347
