episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
1,242.713229,-242.202898,0.000511,58804.531250,-2.493916,0.003798,25,5.563550
2,226.492810,-225.982480,-0.001721,51134.025670,-2.495358,0.003071,21,10.382218
3,185.410078,-184.899748,-0.005286,34487.622917,-2.495849,0.003829,15,15.141811
4,162.264557,-161.754227,-0.004037,26115.243304,-2.497476,0.003600,14,19.929204
5,147.451573,-146.941243,-0.000735,21614.662861,-2.499164,0.003474,13,24.788119
6,123.586451,-123.076121,-0.004448,15247.643848,-2.500230,0.003892,10,29.539762
7,107.857468,-107.347137,-0.009010,11526.817925,-2.500479,0.004477,9,34.391687
8,84.810990,-84.300660,-0.005442,7018.148254,-2.500553,0.004388,8,39.123640
9,66.564036,-66.053706,0.002009,4345.143616,-2.500837,0.004011,8,43.869935
10,56.652003,-56.141673,-0.001247,3059.192557,-2.501093,0.003762,7,48.599089
11,49.175974,-48.665643,0.001252,2273.481903,-2.501707,0.003710,8,53.412811
12,42.165676,-41.655346,-0.005467,1652.522095,-2.502209,0.004597,8,58.220261
13,31.950614,-31.440283,0.003301,908.151332,-2.502356,0.003817,7,63.007315
14,23.844538,-23.334206,-0.004637,508.970284,-2.502200,0.004159,8,67.993661
15,20.614375,-20.104043,-0.003755,344.421368,-2.502251,0.004926,8,72.851667
16,14.892091,-14.381759,-0.009120,170.709630,-2.502556,0.003881,10,77.626002
17,10.738144,-10.227812,-0.005002,74.548087,-2.502721,0.003795,8,82.336745
18,8.487672,-7.977340,-0.003574,36.265574,-2.502970,0.003562,7,87.062842
19,6.591949,-6.081617,-0.008286,16.734861,-2.503096,0.004835,7,91.798793
20,4.741260,-4.230928,-0.004132,4.088629,-2.503285,0.004016,7,96.589214
21,3.550642,-3.040310,-0.013066,1.292130,-2.503435,0.004339,7,101.345123
22,2.779382,-2.269050,-0.003654,0.585731,-2.503490,0.003797,6,106.092666
23,2.197014,-1.686682,-0.003240,1.179862,-2.503487,0.004028,6,110.897975
24,1.712636,-1.202304,0.000340,1.789096,-2.503509,0.004866,6,115.644091
25,1.144151,-0.633820,-0.003152,3.411948,-2.503634,0.004010,6,120.458381
26,0.984457,-0.474125,-0.001938,3.610699,-2.503806,0.005122,7,125.244628
27,0.682033,-0.171701,-0.000033,4.444138,-2.503963,0.004214,7,130.061316
28,0.647046,-0.136714,-0.001157,4.174258,-2.504193,0.004101,8,134.824430
29,0.574676,-0.064344,-0.001331,4.020309,-2.504332,0.004016,9,139.666278
30,0.479348,0.030984,-0.000926,3.850689,-2.504197,0.003989,11,144.562246
31,0.491365,0.018967,-0.000877,3.241699,-2.503909,0.003826,12,149.420979
32,0.470287,0.040045,-0.001302,2.735198,-2.503538,0.003663,14,154.265512
33,0.438242,0.072090,-0.000751,2.187599,-2.503173,0.003576,19,159.195214
34,0.441966,0.068366,-0.000512,1.478937,-2.502541,0.003681,24,164.171418
35,0.440527,0.069805,-0.000634,0.933155,-2.501952,0.003321,20,169.084355
36,0.529415,-0.019083,0.000124,0.378200,-2.501098,0.001131,30,174.151767
37,0.493080,0.017252,0.000164,0.119184,-2.499880,0.000568,30,179.239804
38,0.475289,0.035043,0.000059,0.011796,-2.498759,0.000894,30,184.358046
39,0.485425,0.024907,-0.000014,0.001422,-2.497275,0.001368,30,189.460908
40,0.471340,0.038992,-0.000048,0.002769,-2.495952,0.001200,30,194.617473
41,0.464644,0.045688,-0.000338,0.002267,-2.494564,0.003422,29,199.680444
42,0.462505,0.047826,-0.000074,0.003219,-2.493083,0.001656,30,204.881020
43,0.447592,0.062740,-0.000045,0.001953,-2.491353,0.000488,30,209.929472
44,0.472860,0.037472,-0.000235,0.002616,-2.489765,0.000867,30,215.020515
45,0.426650,0.083682,0.000030,0.003690,-2.488557,0.000136,30,219.999801
46,0.448830,0.061502,0.000118,0.002199,-2.487244,0.000508,30,225.077142
47,0.447605,0.062726,-0.000236,0.001901,-2.485749,0.000866,30,230.113541
48,0.514928,-0.004596,-0.000155,0.013152,-2.484692,0.003169,20,235.098538
49,0.422061,0.088271,-0.000145,0.003805,-2.484231,0.001872,30,240.115654
50,0.411352,0.098980,-0.000262,0.002504,-2.482875,0.003217,29,245.218538
51,0.428523,0.081809,-0.000435,0.002514,-2.481502,0.003721,27,250.253441
52,0.441712,0.068620,-0.000334,0.005968,-2.480545,0.002960,30,255.289306
53,0.391884,0.118448,0.000073,0.002800,-2.479607,0.000469,30,260.309978
54,0.418495,0.091837,-0.000309,0.002609,-2.478396,0.003336,23,265.427438
