episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
1,0.007596,-0.989045,-0.001448,0.705968,-0.189122,0.003288,30,7.776608
2,0.007022,-0.838652,-0.000142,0.254668,-0.187441,0.001439,30,14.916780
3,0.006515,-0.706140,-0.000511,0.057917,-0.186540,0.003109,23,22.244587
4,0.005570,-0.458525,-0.001707,0.043097,-0.185753,0.003680,16,29.316611
5,0.004876,-0.276894,-0.000022,0.092225,-0.185013,0.003849,13,36.258438
6,0.004345,-0.137716,-0.000490,0.123146,-0.184437,0.003991,12,43.737304
7,0.003785,0.008822,-0.001190,0.181671,-0.183979,0.004017,10,50.186621
8,0.003355,0.121488,-0.000526,0.214782,-0.183274,0.003777,9,56.675221
9,0.003040,0.203969,-0.000375,0.236122,-0.182410,0.004207,10,64.239222
10,0.002547,0.332962,-0.000250,0.295720,-0.181316,0.004394,12,72.343699
11,0.002115,0.446077,-0.000848,0.338660,-0.180257,0.003473,11,80.362695
12,0.001929,0.494874,-0.000809,0.275857,-0.178684,0.004465,19,87.481172
13,0.001768,0.536951,-0.000776,0.200821,-0.177181,0.002964,13,94.721211
14,0.001509,0.604900,-0.001357,0.178141,-0.176211,0.004133,10,103.082856
15,0.001414,0.629834,-0.000800,0.119059,-0.175056,0.003858,12,112.141988
16,0.001157,0.696971,-0.000785,0.084324,-0.173699,0.003953,14,121.203144
17,0.000967,0.746904,-0.001159,0.049184,-0.172470,0.003558,11,129.064304
18,0.000893,0.766187,0.000187,0.023822,-0.171506,0.003680,10,137.499640
19,0.000652,0.829203,-0.000465,0.011379,-0.169575,0.004372,30,146.450753
20,0.000648,0.830406,-0.001052,0.006844,-0.167265,0.005395,30,154.483467
21,0.000641,0.832062,-0.000285,0.006864,-0.164870,0.003896,21,163.787064
22,0.000830,0.782749,-0.000477,0.006798,-0.162807,0.003577,16,173.093566
23,0.000987,0.741424,-0.000246,0.007704,-0.160982,0.003718,13,181.515166
24,0.001469,0.615231,0.000146,0.015416,-0.158943,0.001005,30,190.097950
25,0.001167,0.694502,-0.000116,0.009035,-0.156979,0.000883,30,198.552457
26,0.001166,0.694575,-0.000033,0.005885,-0.154813,0.001697,30,207.330369
27,0.001128,0.704733,-0.000020,0.005457,-0.152734,0.000876,30,216.667963
28,0.001094,0.713511,-0.000454,0.005803,-0.149979,0.002912,30,225.477499
29,0.000992,0.740293,-0.000572,0.005976,-0.146325,0.003367,30,235.044330
30,0.001198,0.686394,-0.000497,0.006346,-0.142358,0.004563,30,242.988139
31,0.001517,0.602732,-0.000562,0.007197,-0.139452,0.003484,14,250.956056
32,0.001921,0.496944,0.000114,0.016737,-0.137818,0.003933,14,259.194620
33,0.002425,0.364966,-0.000354,0.046369,-0.137225,0.003349,9,267.428407
34,0.001801,0.528357,-0.000138,0.011254,-0.136034,0.006946,30,275.880117
35,0.001684,0.558983,-0.000018,0.012369,-0.133951,0.003480,11,283.917103
36,0.001213,0.682475,-0.000218,0.020022,-0.133185,0.004566,9,292.777085
37,0.001022,0.732413,-0.000159,0.007263,-0.131153,0.005922,30,302.780547
38,0.000745,0.804886,-0.000536,0.004303,-0.128058,0.001711,30,310.510897
39,0.001061,0.722261,-0.000309,0.013852,-0.126143,0.002858,10,319.636402
40,0.000784,0.794648,0.000040,0.005001,-0.125233,0.004827,12,328.801101
41,0.000627,0.835905,0.000106,0.005048,-0.123055,0.000358,30,337.629039
42,0.000614,0.839193,-0.000040,0.003588,-0.119357,0.001533,30,346.232283
43,0.000827,0.783571,0.000304,0.008519,-0.116834,0.002933,11,355.161172
44,0.000565,0.851938,-0.000367,0.004156,-0.115186,0.002463,30,363.560019
45,0.000635,0.833632,-0.000042,0.003161,-0.112179,0.003530,30,371.839165
46,0.000753,0.802905,-0.000550,0.004432,-0.108965,0.003431,30,380.290379
47,0.000832,0.782124,-0.000091,0.002425,-0.106302,0.003210,30,389.853334
48,0.000927,0.757364,-0.000344,0.003888,-0.103205,0.002717,30,398.258371
49,0.001033,0.729607,-0.000378,0.007842,-0.101079,0.003036,7,406.520566
50,0.000761,0.800854,0.000197,0.005308,-0.100435,0.004141,7,415.233631
51,0.000537,0.859390,-0.000223,0.004628,-0.098703,0.002215,30,424.765301
52,0.000673,0.823776,-0.000497,0.003221,-0.095672,0.004957,30,434.021504
53,0.000533,0.860467,-0.000247,0.002938,-0.093304,0.003660,12,443.969743
54,0.000738,0.806808,-0.000094,0.003173,-0.092158,0.003924,11,453.339966
55,0.000977,0.744179,-0.000479,0.006845,-0.090976,0.004146,15,463.615937
56,0.001350,0.646529,-0.000338,0.007111,-0.089331,0.002430,30,473.653297
57,0.001165,0.695039,-0.000027,0.003378,-0.086861,0.003169,30,483.070383
