episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
1,0.007739,-1.026519,-0.001517,0.832715,-0.189211,0.002015,30,0.000100,4.441569
2,0.007017,-0.837427,-0.001939,0.319202,-0.186307,0.003031,23,0.000100,8.933798
3,0.006175,-0.616989,-0.001452,0.081457,-0.184885,0.003379,16,0.000100,13.062264
4,0.005128,-0.342912,-0.000465,0.047211,-0.185733,0.003455,15,0.000100,17.190378
5,0.005024,-0.315502,-0.001010,0.056284,-0.185510,0.003272,10,0.000100,21.519042
6,0.004247,-0.112188,-0.001671,0.128166,-0.185603,0.003714,9,0.000100,25.799130
7,0.003428,0.102328,-0.000606,0.208883,-0.185556,0.004425,10,0.000100,30.103098
8,0.003192,0.164272,-0.001233,0.205064,-0.185103,0.003915,10,0.000100,34.810683
9,0.002437,0.361777,-0.001025,0.331306,-0.184564,0.003942,10,0.000100,39.132240
10,0.002249,0.411040,-0.000146,0.308844,-0.184057,0.003811,10,0.000100,43.804003
11,0.001941,0.491667,-0.000063,0.311726,-0.183390,0.004610,13,0.000100,48.247666
12,0.001858,0.513447,-0.000066,0.187428,-0.181727,0.000475,30,0.000100,53.017920
13,0.001859,0.513145,-0.000264,0.048846,-0.179036,0.003315,24,0.000100,57.829899
14,0.002007,0.474530,-0.000206,0.006564,-0.176538,0.003598,28,0.000100,62.541013
15,0.002305,0.396505,0.000230,0.008730,-0.174044,0.000219,30,0.000100,67.076437
16,0.002350,0.384612,-0.000209,0.007862,-0.171901,0.002703,18,0.000100,71.238775
17,0.001994,0.477808,-0.000046,0.009892,-0.170096,0.004358,23,0.000100,75.574608
18,0.001673,0.562006,-0.000182,0.009141,-0.167843,0.002703,30,0.000100,80.147750
19,0.001799,0.528861,-0.000282,0.005443,-0.166282,0.003371,18,0.000100,84.765002
20,0.002152,0.436558,-0.000443,0.009483,-0.164644,0.003675,21,0.000100,89.489380
21,0.002274,0.404453,-0.000454,0.004663,-0.162234,0.001905,30,0.000100,93.988068
22,0.002009,0.473987,-0.000382,0.005839,-0.159714,0.001613,30,0.000100,98.778273
23,0.002322,0.392022,-0.000693,0.008598,-0.156754,0.002948,27,0.000100,103.416433
24,0.001971,0.483818,-0.000710,0.017097,-0.155190,0.003035,10,0.000100,108.128446
25,0.001781,0.533751,-0.000045,0.014941,-0.154787,0.003998,12,0.000100,112.535579
26,0.001447,0.621187,-0.000658,0.014695,-0.153956,0.004020,20,0.000100,117.432100
27,0.001254,0.671640,-0.000468,0.005984,-0.152718,0.003309,15,0.000100,122.271731
28,0.001563,0.590592,0.000067,0.010313,-0.150825,0.002818,24,0.000100,126.689119
29,0.001227,0.678574,-0.000450,0.008048,-0.148589,0.002433,30,0.000100,130.863830
30,0.001323,0.653656,-0.000081,0.006663,-0.145744,0.001908,30,0.000100,134.960240
31,0.001376,0.639787,-0.000868,0.009060,-0.143806,0.003604,10,0.000100,138.842324
32,0.001006,0.736692,-0.000555,0.013014,-0.142887,0.004562,9,0.000100,142.849744
33,0.000880,0.769445,-0.000259,0.006689,-0.140938,0.004955,30,0.000100,147.258892
34,0.000751,0.803385,-0.000135,0.004713,-0.137966,0.003497,26,0.000100,151.524419
35,0.000891,0.766755,-0.000313,0.008516,-0.136018,0.003130,12,0.000100,155.851578
36,0.000751,0.803309,0.000089,0.007271,-0.135002,0.003762,9,0.000100,160.034319
37,0.000629,0.835365,-0.000440,0.007476,-0.134189,0.004174,10,0.000100,164.260118
38,0.000435,0.885976,-0.000144,0.006262,-0.132986,0.004240,16,0.000100,168.682763
39,0.000494,0.870592,0.000359,0.005276,-0.131672,0.004396,17,0.000100,172.967665
40,0.000674,0.823448,-0.000234,0.005589,-0.129189,0.002201,30,0.000100,177.401350
41,0.000652,0.829385,-0.000057,0.003716,-0.125538,0.002634,30,0.000100,181.764183
42,0.000693,0.818650,0.000255,0.004916,-0.122721,0.002697,30,0.000100,186.278000
43,0.000710,0.814068,-0.000525,0.004306,-0.120681,0.002997,23,0.000100,190.516626
44,0.000521,0.863586,0.000032,0.003951,-0.117647,0.003404,30,0.000100,194.912136
45,0.000584,0.847136,0.000006,0.003538,-0.115048,0.002297,30,0.000100,199.355638
46,0.000678,0.822466,0.000001,0.003310,-0.112719,0.000871,30,0.000100,203.784499
47,0.000775,0.796978,0.000075,0.004073,-0.110951,0.002989,11,0.000100,208.017532
48,0.000989,0.740957,-0.000178,0.003950,-0.109871,0.004684,15,0.000100,212.106726
49,0.001152,0.698291,-0.000201,0.004427,-0.107949,0.002476,23,0.000100,216.077097
50,0.000999,0.738421,-0.000030,0.006237,-0.106181,0.003233,10,0.000100,219.976718
51,0.000804,0.789512,0.000128,0.008841,-0.105534,0.004264,9,0.000100,224.240949
52,0.000548,0.856432,0.000155,0.004071,-0.104299,0.002233,30,0.000100,228.609020
53,0.000524,0.862676,-0.000102,0.002606,-0.102022,0.000709,30,0.000100,232.898322
54,0.000554,0.854975,-0.000189,0.003371,-0.100129,0.003236,16,0.000100,237.156534
55,0.000455,0.880909,-0.000015,0.002704,-0.097997,0.003859,24,0.000100,241.516382
56,0.000578,0.848579,-0.000201,0.003765,-0.096440,0.003112,12,0.000100,245.892052
57,0.000429,0.887753,-0.000050,0.002464,-0.094663,0.004440,30,0.000100,250.134848
58,0.000338,0.911531,-0.000185,0.001896,-0.092571,0.003174,13,0.000100,254.427126
59,0.000436,0.885749,-0.000364,0.002390,-0.090342,0.003106,30,0.000100,258.869970
60,0.000514,0.865474,-0.000099,0.002555,-0.087453,0.003812,30,0.000100,263.170224
61,0.000384,0.899478,-0.000035,0.002734,-0.084596,0.003908,30,0.000100,267.557975
62,0.000302,0.920980,-0.000245,0.001655,-0.082552,0.003096,14,0.000100,271.540949
63,0.000424,0.889094,-0.000247,0.002083,-0.081497,0.004330,10,0.000100,275.739889
64,0.000685,0.820601,-0.000195,0.003714,-0.079678,0.003278,30,0.000100,280.054349
65,0.000760,0.800926,-0.000304,0.002514,-0.077553,0.004105,19,0.000100,284.094096
66,0.000557,0.854060,-0.000244,0.004846,-0.076403,0.003512,10,0.000100,288.347371
67,0.000413,0.891806,-0.000110,0.002187,-0.074382,0.002454,30,0.000100,292.905685
68,0.000400,0.895152,-0.000040,0.001655,-0.071958,0.003402,14,0.000100,297.003509
69,0.000388,0.898368,-0.000139,0.001703,-0.070409,0.004318,16,0.000100,301.361417
70,0.000303,0.920684,-0.000255,0.001295,-0.067951,0.002208,30,0.000100,305.806399
