episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
1,5.078944,-4.024230,-0.005901,15.207160,-2.491698,0.002895,30,1.565366
2,3.598695,-2.543982,0.000837,4.699278,-2.489388,0.001067,30,2.840858
3,3.961759,-2.907046,-0.009279,5.708404,-2.488395,0.003054,18,4.039226
4,3.746633,-2.691920,-0.004492,3.965514,-2.487436,0.003180,17,5.276700
5,3.133700,-2.078987,-0.003608,1.558224,-2.486649,0.004003,15,6.469895
6,3.025239,-1.970526,-0.011096,1.300659,-2.486396,0.003722,12,7.633372
7,1.970632,-0.915919,0.000741,0.152522,-2.486457,0.004101,11,8.774467
8,1.645281,-0.590568,-0.001010,0.372308,-2.485425,0.003511,11,9.904799
9,1.288897,-0.234183,-0.000038,0.670278,-2.484766,0.003665,10,11.003037
10,1.136681,-0.081968,0.000289,0.719560,-2.484883,0.003774,9,12.137049
11,0.949721,0.104993,-0.010774,0.955726,-2.484948,0.004445,8,13.236203
12,0.613103,0.441610,-0.001826,1.437801,-2.484778,0.004078,9,14.347397
13,0.475015,0.579698,0.000816,1.550568,-2.484366,0.003945,11,15.482565
14,0.458873,0.595840,-0.000895,1.395737,-2.484005,0.004067,10,16.614026
15,0.269772,0.784941,0.000574,1.452809,-2.483579,0.003449,30,17.934227
16,0.278426,0.776287,-0.000979,1.004744,-2.483051,0.003014,23,19.173601
17,0.192478,0.862235,-0.000496,0.754297,-2.482658,0.004220,27,20.544607
18,0.363420,0.691293,-0.001173,0.276455,-2.482500,0.002344,16,21.717146
19,0.197679,0.857034,0.000360,0.284956,-2.482498,0.003668,12,22.869350
20,0.210910,0.843804,-0.001108,0.122375,-2.481974,0.004027,23,24.211326
21,0.257142,0.797571,-0.000886,0.023342,-2.481406,0.003718,25,25.514749
22,0.160548,0.894165,-0.001336,0.011966,-2.481617,0.002920,25,26.754933
23,0.166180,0.888534,-0.000581,0.008421,-2.481243,0.003160,20,27.990630
24,0.169654,0.885059,-0.000118,0.009941,-2.480873,0.003626,20,29.209087
25,0.214856,0.839857,-0.000320,0.006917,-2.480487,0.003674,22,30.465193
26,0.330082,0.724631,-0.000916,0.010981,-2.480045,0.003856,30,31.810834
27,0.414413,0.640301,-0.000081,0.027375,-2.479284,0.003062,17,33.048641
28,0.318581,0.736133,-0.000183,0.011111,-2.478160,0.003927,30,34.362072
29,0.262839,0.791874,-0.000161,0.015700,-2.476778,0.003485,30,35.745227
30,0.239624,0.815089,-0.001431,0.012954,-2.475863,0.003327,17,36.929388
31,0.133922,0.920791,-0.000191,0.011329,-2.475050,0.002115,30,38.239944
32,0.201996,0.852717,0.000416,0.016510,-2.474195,0.002949,23,39.490845
33,0.188415,0.866298,0.000098,0.008361,-2.472605,0.000574,30,40.803039
34,0.139279,0.915434,-0.000083,0.005461,-2.470861,0.003420,28,42.091656
35,0.184982,0.869731,-0.000199,0.007497,-2.469261,0.001252,30,43.443681
36,0.153547,0.901166,-0.000307,0.005270,-2.467447,0.001419,30,44.848899
37,0.152599,0.902115,-0.000444,0.004130,-2.466038,0.003697,30,46.166373
38,0.115433,0.939280,-0.000186,0.004688,-2.465060,0.002805,21,47.405461
39,0.165706,0.889007,-0.000401,0.005581,-2.464566,0.003519,14,48.571666
40,0.203894,0.850819,-0.000228,0.009017,-2.464472,0.005559,30,49.951560
41,0.197587,0.857126,0.000243,0.006340,-2.464752,0.002023,30,51.293602
42,0.210884,0.843829,-0.000676,0.004242,-2.463066,0.004281,30,52.605549
43,0.192575,0.862139,-0.000212,0.006761,-2.461446,0.004433,30,53.892032
44,0.228169,0.826544,0.000050,0.008665,-2.460213,0.002765,17,55.115988
45,0.169362,0.885351,-0.000516,0.008208,-2.459006,0.003632,20,56.314550
46,0.147033,0.907680,0.000087,0.003200,-2.457459,0.002700,30,57.632338
47,0.086065,0.968648,-0.000072,0.003874,-2.455917,0.000840,30,58.974696
48,0.082563,0.972150,-0.000277,0.003036,-2.454180,0.002528,30,60.321308
49,0.123161,0.931552,-0.000360,0.003478,-2.452400,0.002821,30,61.651995
50,0.095711,0.959002,0.000059,0.003878,-2.450605,0.001796,30,63.007902
51,0.086668,0.968046,0.000023,0.002334,-2.448624,0.002805,30,64.372321
52,0.065602,0.989111,-0.000174,0.002274,-2.446539,0.001905,30,65.749606
53,0.087011,0.967702,-0.000302,0.003034,-2.444370,0.003427,30,67.071088
54,0.093118,0.961595,0.000305,0.002273,-2.442656,0.000615,30,68.395555
55,0.085638,0.969076,-0.000198,0.002157,-2.440704,0.002254,30,69.690038
56,0.081028,0.973686,-0.000578,0.001671,-2.438580,0.003487,20,70.929396
57,0.131097,0.923616,-0.000373,0.004225,-2.436818,0.004417,29,72.238264
58,0.082417,0.972296,-0.000050,0.002679,-2.434998,0.001199,30,73.555132
59,0.106159,0.948554,-0.000309,0.001906,-2.433849,0.004064,30,74.877984
60,0.098954,0.955759,-0.000379,0.001570,-2.432521,0.002541,30,76.199286
