episode,loss,reward,mode
10,35.962360,3.636300,path_dep
20,38.021810,3.903850,path_dep
30,30.292500,3.773140,path_dep
40,21.472770,3.178270,path_dep
50,23.720040,3.538710,path_dep
60,18.572820,2.110400,path_dep
70,19.682620,2.674760,path_dep
80,20.371030,2.512190,path_dep
90,25.631390,2.819710,path_dep
100,20.700000,1.988480,path_dep
110,25.186820,1.928580,path_dep
120,34.684690,0.009780,path_dep
130,17.274870,1.834590,path_dep
140,20.341260,1.767440,path_dep
150,32.643180,1.462980,path_dep
160,24.073530,2.911920,path_dep
170,21.144600,2.422390,path_dep
180,26.914360,2.381800,path_dep
190,17.314090,0.977270,path_dep
200,24.409420,1.128510,path_dep
210,26.151850,2.804740,path_dep
220,25.601060,2.743190,path_dep
230,23.326970,2.780810,path_dep
240,24.712220,2.851030,path_dep
250,21.737820,2.585040,path_dep
260,15.869750,2.291750,path_dep
270,21.057580,2.548050,path_dep
280,17.522260,1.699330,path_dep
290,21.173260,2.625990,path_dep
300,31.047470,0.523320,path_dep
310,20.004040,0.236870,path_dep
320,26.874510,0.669580,path_dep
330,16.603030,2.464540,path_dep
340,16.372420,2.106370,path_dep
350,20.192130,2.545700,path_dep
360,18.582340,0.928080,path_dep
370,18.001330,2.581920,path_dep
380,16.977990,2.275530,path_dep
390,18.344600,2.581480,path_dep
400,14.726230,2.152200,path_dep
410,26.707370,0.790350,path_dep
420,29.226960,0.078360,path_dep
430,21.561110,2.129410,path_dep
440,22.784010,1.837520,path_dep
450,19.787520,2.773720,path_dep
460,18.069750,2.574050,path_dep
470,17.739330,2.501340,path_dep
480,16.340870,2.455940,path_dep
490,25.695070,1.272740,path_dep
500,19.699350,2.007750,path_dep
510,20.204490,2.839230,path_dep
520,17.911850,2.633880,path_dep
530,20.011950,2.594740,path_dep
540,16.164710,2.361050,path_dep
550,17.577780,2.596330,path_dep
560,16.861980,2.129400,path_dep
570,16.365130,1.998490,path_dep
580,25.292770,0.357410,path_dep
590,17.092430,2.258600,path_dep
600,14.630850,1.196700,path_dep
10,49.737170,3.356690,non_path_dep
20,49.733260,2.813890,non_path_dep
30,57.717940,-0.568340,non_path_dep
40,50.225910,0.376210,non_path_dep
50,39.193210,2.368950,non_path_dep
60,30.152460,2.031420,non_path_dep
70,16.337520,-0.506790,non_path_dep
80,11.637310,-4.290760,non_path_dep
90,8.937550,-3.833140,non_path_dep
100,7.941260,-2.831840,non_path_dep
110,7.076860,-6.663250,non_path_dep
120,6.839480,-2.273670,non_path_dep
130,7.464420,-3.378410,non_path_dep
140,8.137110,-6.549000,non_path_dep
150,8.831850,-5.331750,non_path_dep
160,11.233020,0.301600,non_path_dep
170,14.914460,2.784710,non_path_dep
180,13.097700,2.334260,non_path_dep
190,17.538230,3.341840,non_path_dep
200,17.612070,3.284030,non_path_dep
210,19.407420,3.266130,non_path_dep
220,23.982310,2.695490,non_path_dep
230,22.305690,2.918030,non_path_dep
240,21.892230,2.934660,non_path_dep
250,24.991250,2.254520,non_path_dep
260,23.002870,2.662700,non_path_dep
270,25.873000,1.985900,non_path_dep
280,27.201200,1.547380,non_path_dep
290,28.322820,1.135200,non_path_dep
300,23.975890,2.317990,non_path_dep
310,14.790080,3.429170,non_path_dep
320,8.140110,1.974540,non_path_dep
330,6.222340,-0.041670,non_path_dep
340,5.708810,-1.685190,non_path_dep
350,5.825700,-0.390870,non_path_dep
360,6.716810,0.764730,non_path_dep
370,9.046440,2.411320,non_path_dep
380,9.807790,2.834970,non_path_dep
390,6.142560,0.677020,non_path_dep
400,5.494400,-1.023630,non_path_dep
410,7.922780,1.932400,non_path_dep
420,10.007460,2.834140,non_path_dep
430,6.328160,0.842870,non_path_dep
440,5.645030,-0.447460,non_path_dep
450,8.695950,2.514380,non_path_dep
460,7.384440,1.775470,non_path_dep
470,5.914010,0.331500,non_path_dep
480,5.639560,-0.325740,non_path_dep
490,6.857730,1.274950,non_path_dep
500,9.248800,2.663500,non_path_dep
510,7.575460,1.903900,non_path_dep
520,5.798320,-0.081140,non_path_dep
530,6.542010,1.066660,non_path_dep
540,7.910830,1.935480,non_path_dep
550,8.445750,2.330510,non_path_dep
560,6.930640,1.596860,non_path_dep
570,6.534000,0.986050,non_path_dep
580,6.751460,1.326370,non_path_dep
590,9.135400,2.488340,non_path_dep
600,8.704370,2.412940,non_path_dep
610,7.829180,1.908830,non_path_dep
620,7.182350,1.303480,non_path_dep
630,7.349590,1.612850,non_path_dep
640,9.874600,2.748420,non_path_dep
650,12.278590,3.146110,non_path_dep
660,10.382920,2.725560,non_path_dep
670,9.025000,2.382640,non_path_dep
680,8.251450,1.979460,non_path_dep
690,8.259690,2.063460,non_path_dep
700,9.625760,2.631040,non_path_dep
710,12.182580,2.916280,non_path_dep
720,10.714010,2.978580,non_path_dep
730,10.870690,2.881020,non_path_dep
740,11.043810,2.952040,non_path_dep
750,10.011460,2.634270,non_path_dep
760,10.486860,2.853490,non_path_dep
770,11.970020,3.004300,non_path_dep
780,12.235290,3.054000,non_path_dep
790,14.872710,3.007960,non_path_dep
800,16.091150,3.118820,non_path_dep
810,15.137440,3.124970,non_path_dep
820,18.400290,2.724090,non_path_dep
830,17.785990,3.055830,non_path_dep
840,17.520390,2.911930,non_path_dep
850,19.089880,2.723160,non_path_dep
860,23.833340,1.479000,non_path_dep
870,25.701110,1.132760,non_path_dep
880,27.064970,0.718640,non_path_dep
890,27.280910,0.658030,non_path_dep
900,30.562070,-0.663340,non_path_dep
910,29.484400,-0.246790,non_path_dep
920,33.143490,-1.737330,non_path_dep
930,36.523990,-3.302940,non_path_dep
940,37.552880,-3.836840,non_path_dep
950,42.190740,-6.320830,non_path_dep
960,44.854000,-7.756580,non_path_dep
970,49.170790,-9.920220,non_path_dep
980,53.579890,-10.375670,non_path_dep
990,60.864360,-11.157260,non_path_dep
1000,71.790870,-11.365020,non_path_dep
1010,83.867390,-11.594640,non_path_dep
1020,93.851190,-11.784470,non_path_dep
1030,105.416690,-12.004370,non_path_dep
1040,111.156280,-12.113500,non_path_dep
1050,117.213290,-12.228670,non_path_dep
1060,121.885070,-12.317500,non_path_dep
1070,128.685410,-12.446800,non_path_dep
1080,133.668750,-12.541550,non_path_dep
1090,140.864450,-12.678370,non_path_dep
1100,143.286680,-12.724420,non_path_dep
1110,147.524300,-12.804990,non_path_dep
1120,156.274870,-12.971380,non_path_dep
1130,159.367910,-13.030190,non_path_dep
1140,163.719640,-13.112930,non_path_dep
1150,171.005610,-13.251460,non_path_dep
1160,172.359610,-13.277210,non_path_dep
1170,181.893350,-13.458480,non_path_dep
1180,179.438660,-13.411810,non_path_dep
1190,185.936040,-13.535350,non_path_dep
1200,192.053290,-13.651660,non_path_dep
1210,200.967720,-13.821160,non_path_dep
1220,201.598040,-13.833140,non_path_dep
1230,200.216930,-13.806880,non_path_dep
